id_sol;period;courses;total_credits;period_fit;total_fit
16;6;inf292,fis140,inf246,inf280,;23;1.69;62.1
16;7;inf295,inf322,inf293,inf313,;20;18.49;62.1
16;8;inf285,inf360,inf256,icn270,inf306,inf7,;27;7.29;62.1
16;9;inf307,inf228,inf309,inf343,inf308,;27;7.29;62.1
16;10;inf310,inf6,inf305,;27;7.29;62.1
17;1;inf134,inf270,inf314,hrw2,inf5,inf312,;25;0.490001;62.1
17;2;inf253,inf239,inf276,inf155,inf311,;25;0.490001;62.1
17;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;2.89;62.1
17;4;mat023,inf225,inf245,hrw1,inf3,;22;5.29;62.1
17;5;fis120,mat024,iwn170,inf4,;21;10.89;62.1
17;6;inf292,fis140,inf246,inf280,;23;1.69;62.1
17;7;inf295,inf322,inf293,inf313,;20;18.49;62.1
17;8;inf285,inf360,inf256,icn270,inf306,inf7,;27;7.29;62.1
17;9;inf307,inf228,inf309,inf343,inf308,;27;7.29;62.1
17;10;inf310,inf6,inf305,;27;7.29;62.1
18;1;inf134,inf270,inf314,hrw2,inf5,inf312,;25;0.490001;62.1
18;2;inf253,inf239,inf276,inf155,inf311,;25;0.490001;62.1
18;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;2.89;62.1
18;4;mat023,inf225,inf245,hrw1,inf3,;22;5.29;62.1
18;5;fis120,mat024,iwn170,inf4,;21;10.89;62.1
18;6;inf292,fis140,inf246,inf280,;23;1.69;62.1
18;7;inf295,inf322,inf293,inf313,;20;18.49;62.1
18;8;inf285,inf360,inf256,icn270,inf306,inf7,;27;7.29;62.1
18;9;inf307,inf228,inf309,inf343,inf308,;27;7.29;62.1
18;10;inf310,inf6,inf305,;27;7.29;62.1
19;1;hrw2,inf134,inf270,inf314,inf5,inf312,;25;0.490001;92.1
19;2;inf253,inf239,inf276,inf155,inf311,;25;0.490001;92.1
19;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;2.89;92.1
19;4;mat023,inf225,inf245,inf3,hrw1,;22;5.29;92.1
19;5;fis120,mat024,inf280,iwn170,inf4,;26;2.89;92.1
19;6;inf292,fis140,inf246,;18;39.69;92.1
19;7;inf295,inf322,inf293,inf313,;20;18.49;92.1
19;8;inf285,inf360,inf256,icn270,inf306,inf7,;27;7.29;92.1
19;9;inf307,inf228,inf309,inf343,inf308,;27;7.29;92.1
19;10;inf310,inf6,inf305,;27;7.29;92.1
20;1;inf134,inf270,inf314,hrw2,inf5,inf312,inf313,;30;9;106
20;2;inf253,inf239,inf276,inf155,inf311,;25;4;106
20;3;inf2,mat022,inf221,inf236,inf266,inf1,;26;1;106
20;4;mat023,inf225,inf245,inf3,hrw1,;22;25;106
20;5;fis120,mat024,iwn170,inf4,inf322,;26;1;106
20;6;inf292,fis140,inf246,inf280,;23;16;106
20;7;inf285,inf360,inf256,icn270,inf306,inf7,inf295,;32;25;106
20;8;inf307,inf228,inf309,inf343,inf308,inf293,;32;25;106
20;9;inf310,inf6,inf305,;27;0;106
21;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;2.89;158.1
21;2;inf253,inf239,inf276,inf155,inf3,inf311,;27;7.29;158.1
21;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;2.89;158.1
21;4;mat023,inf225,inf245,inf4,;19;28.09;158.1
21;5;fis120,mat024,iwn170,;19;28.09;158.1
21;6;inf5,inf292,fis140,inf246,inf280,inf313,;30;32.49;158.1
21;7;inf295,inf322,inf293,inf306,inf7,;22;5.29;158.1
21;8;inf307,inf285,inf360,inf256,icn270,inf308,;30;32.49;158.1
21;9;inf228,inf309,inf343,inf6,inf305,;24;0.0899995;158.1
21;10;inf310,;20;18.49;158.1
22;1;hrw2,inf134,inf270,inf314,hrw1,inf312,;26;2.89;158.1
22;2;inf253,inf239,inf276,inf155,inf3,inf311,;27;7.29;158.1
22;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;2.89;158.1
22;4;mat023,inf225,inf245,inf4,;19;28.09;158.1
22;5;fis120,mat024,iwn170,;19;28.09;158.1
22;6;inf292,fis140,inf246,inf280,inf5,inf313,;30;32.49;158.1
22;7;inf295,inf322,inf293,inf306,inf7,;22;5.29;158.1
22;8;inf307,inf285,inf360,inf256,icn270,inf308,;30;32.49;158.1
22;9;inf228,inf309,inf343,inf6,inf305,;24;0.0899995;158.1
22;10;inf310,;20;18.49;158.1
23;1;inf134,inf270,inf314,hrw2,hrw1,inf312,;26;2.89;158.1
23;2;inf253,inf239,inf276,inf155,inf3,inf311,;27;7.29;158.1
23;3;mat022,inf221,inf236,inf266,inf1,inf2,;26;2.89;158.1
23;4;mat023,inf225,inf245,inf4,;19;28.09;158.1
23;5;fis120,mat024,iwn170,;19;28.09;158.1
23;6;inf5,inf292,fis140,inf246,inf280,inf313,;30;32.49;158.1
23;7;inf295,inf322,inf293,inf306,inf7,;22;5.29;158.1
23;8;inf307,inf285,inf360,inf256,icn270,inf308,;30;32.49;158.1
23;9;inf228,inf309,inf343,inf6,inf305,;24;0.0899995;158.1
23;10;inf310,;20;18.49;158.1
24;1;inf270,inf134,inf314,hrw2,hrw1,inf312,inf5,inf313,;33;36;238
24;2;inf276,inf239,inf253,inf155,inf3,inf2,inf311,;29;4;238
24;3;inf266,inf236,mat022,inf221,inf1,;24;9;238
24;4;inf225,mat023,inf245,inf4,;19;64;238
24;5;fis120,mat024,iwn170,inf292,inf280,inf246,;34;49;238
24;6;inf322,inf295,inf293,inf306,inf7,fis140,;30;9;238
24;7;inf360,inf285,icn270,inf256,inf307,inf308,;30;9;238
24;8;inf343,inf228,inf309,inf6,inf305,;24;9;238
24;9;inf310,;20;49;238
25;1;inf134,hrw1,;8;265.69;384.1
25;2;inf270,inf314,hrw2,inf312,;18;39.69;384.1
25;3;inf2,inf253,inf239,inf276,inf3,inf311,;24;0.0899995;384.1
25;4;mat022,inf221,inf236,inf266,inf155,inf1,;29;22.09;384.1
25;5;mat023,fis120,inf225,inf245,inf4,;27;7.29;384.1
25;6;inf292,fis140,inf246,inf280,iwn170,;28;13.69;384.1
25;7;mat024,inf295,inf322,inf293,inf5,inf313,;28;13.69;384.1
25;8;inf285,inf360,inf256,icn270,inf306,inf7,;27;7.29;384.1
25;9;inf307,inf228,inf309,inf343,inf308,;27;7.29;384.1
25;10;inf310,inf6,inf305,;27;7.29;384.1
